,time,open,high,low,close,tick_volume,spread,real_volume
0,2022-07-05 20:00:00,1766.982,1768.113,1766.898,1767.42,542,200,0
1,2022-07-05 20:10:00,1767.453,1767.901,1767.006,1767.421,295,200,0
2,2022-07-05 20:20:00,1767.422,1767.422,1765.375,1765.474,315,200,0
3,2022-07-05 20:30:00,1765.48,1766.264,1765.48,1765.599,253,200,0
4,2022-07-05 20:40:00,1765.611,1766.157,1765.352,1765.86,304,200,0
5,2022-07-05 20:50:00,1765.87,1766.01,1764.896,1764.991,273,200,0
6,2022-07-05 22:00:00,1766.42,1767.268,1765.813,1766.989,541,200,0
7,2022-07-05 22:10:00,1766.993,1767.847,1766.953,1767.269,358,200,0
8,2022-07-05 22:20:00,1767.264,1768.074,1767.044,1768.047,341,200,0
9,2022-07-05 22:30:00,1768.051,1768.603,1767.98,1768.467,292,200,0
10,2022-07-05 22:40:00,1768.473,1768.629,1768.112,1768.264,206,200,0
11,2022-07-05 22:50:00,1768.261,1768.432,1768.073,1768.082,208,200,0
12,2022-07-05 23:00:00,1768.088,1768.962,1767.959,1768.892,251,200,0
13,2022-07-05 23:10:00,1768.895,1768.994,1768.407,1768.407,267,200,0
14,2022-07-05 23:20:00,1768.444,1768.661,1767.747,1768.163,320,200,0
15,2022-07-05 23:30:00,1768.131,1768.224,1767.85,1767.941,266,200,0
16,2022-07-05 23:40:00,1767.928,1770.029,1767.888,1769.399,447,200,0
17,2022-07-05 23:50:00,1769.368,1769.527,1768.821,1769.527,386,200,0
18,2022-07-06 00:00:00,1769.524,1770.701,1768.737,1770.305,699,200,0
19,2022-07-06 00:10:00,1770.307,1770.395,1769.197,1769.916,525,200,0
20,2022-07-06 00:20:00,1769.922,1769.956,1768.692,1768.951,516,200,0
21,2022-07-06 00:30:00,1768.968,1769.776,1768.833,1769.177,427,200,0
22,2022-07-06 00:40:00,1769.163,1770.482,1768.797,1770.482,452,200,0
23,2022-07-06 00:50:00,1770.489,1771.113,1770.152,1771.103,533,200,0
24,2022-07-06 01:00:00,1771.109,1772.784,1770.878,1772.644,794,200,0
25,2022-07-06 01:10:00,1772.646,1772.661,1771.167,1771.819,716,200,0
26,2022-07-06 01:20:00,1771.849,1772.283,1768.869,1768.962,677,200,0
27,2022-07-06 01:30:00,1768.993,1771.205,1768.993,1770.599,944,200,0
28,2022-07-06 01:40:00,1770.583,1771.225,1770.191,1771.053,792,200,0
29,2022-07-06 01:50:00,1771.018,1771.018,1768.281,1768.406,1001,200,0
30,2022-07-06 02:00:00,1768.415,1770.962,1768.356,1770.404,871,200,0
31,2022-07-06 02:10:00,1770.377,1771.471,1769.348,1771.361,706,200,0
32,2022-07-06 02:20:00,1771.377,1771.462,1770.601,1771.308,434,200,0
33,2022-07-06 02:30:00,1771.332,1772.2,1770.57,1770.664,686,200,0
34,2022-07-06 02:40:00,1770.627,1770.903,1769.68,1770.147,694,200,0
35,2022-07-06 02:50:00,1770.149,1771.37,1769.954,1770.859,697,200,0
36,2022-07-06 03:00:00,1770.827,1772.409,1770.514,1771.695,586,200,0
37,2022-07-06 03:10:00,1771.667,1772.055,1770.378,1770.916,625,200,0
38,2022-07-06 03:20:00,1770.921,1771.346,1769.954,1770.298,616,200,0
39,2022-07-06 03:30:00,1770.328,1770.72,1769.813,1770.123,448,200,0
40,2022-07-06 03:40:00,1770.12,1770.892,1769.95,1769.95,448,200,0
41,2022-07-06 03:50:00,1769.959,1770.171,1769.174,1769.207,410,200,0
42,2022-07-06 04:00:00,1769.201,1769.681,1767.787,1768.84,599,200,0
43,2022-07-06 04:10:00,1768.841,1768.943,1768.299,1768.495,440,200,0
44,2022-07-06 04:20:00,1768.5,1768.679,1767.806,1768.009,363,200,0
45,2022-07-06 04:30:00,1768.006,1768.076,1766.884,1767.279,490,200,0
46,2022-07-06 04:40:00,1767.296,1767.733,1766.346,1766.596,436,200,0
47,2022-07-06 04:50:00,1766.603,1766.882,1765.954,1766.566,479,200,0
48,2022-07-06 05:00:00,1766.53,1767.624,1766.202,1767.236,470,200,0
49,2022-07-06 05:10:00,1767.24,1767.85,1767.133,1767.689,426,200,0
50,2022-07-06 05:20:00,1767.672,1767.948,1765.948,1766.32,573,200,0
51,2022-07-06 05:30:00,1766.355,1766.902,1763.38,1763.69,1231,200,0
52,2022-07-06 05:40:00,1763.671,1766.237,1763.377,1765.034,985,200,0
53,2022-07-06 05:50:00,1765.033,1765.161,1763.037,1763.38,949,200,0
54,2022-07-06 06:00:00,1763.345,1765.672,1763.225,1765.378,1127,200,0
55,2022-07-06 06:10:00,1765.391,1767.149,1764.871,1766.751,1066,200,0
56,2022-07-06 06:20:00,1766.734,1767.729,1765.799,1766.328,814,200,0
57,2022-07-06 06:30:00,1766.296,1767.307,1765.723,1766.846,879,200,0
58,2022-07-06 06:40:00,1766.812,1769.817,1766.565,1769.007,1141,200,0
59,2022-07-06 06:50:00,1768.997,1769.516,1767.64,1769.254,1066,200,0
60,2022-07-06 07:00:00,1769.219,1769.255,1766.583,1768.178,1286,200,0
61,2022-07-06 07:10:00,1768.148,1770.124,1767.166,1768.802,1064,200,0
62,2022-07-06 07:20:00,1768.809,1770.152,1767.965,1769.693,853,200,0
63,2022-07-06 07:30:00,1769.663,1769.663,1767.777,1769.283,765,200,0
64,2022-07-06 07:40:00,1769.269,1770.234,1767.709,1768.596,739,200,0
65,2022-07-06 07:50:00,1768.593,1769.905,1767.347,1767.813,842,200,0
66,2022-07-06 08:00:00,1767.805,1769.943,1767.454,1769.419,783,200,0
67,2022-07-06 08:10:00,1769.432,1771.787,1769.432,1769.823,896,200,0
68,2022-07-06 08:20:00,1769.797,1770.919,1769.146,1769.364,630,200,0
69,2022-07-06 08:30:00,1769.35,1770.507,1766.042,1766.55,941,200,0
70,2022-07-06 08:40:00,1766.581,1767.229,1765.024,1766.099,942,200,0
71,2022-07-06 08:50:00,1766.068,1766.77,1765.688,1766.175,716,200,0
72,2022-07-06 09:00:00,1766.146,1766.408,1764.328,1766.099,799,200,0
73,2022-07-06 09:10:00,1766.09,1766.978,1765.643,1766.776,774,200,0
74,2022-07-06 09:20:00,1766.784,1767.627,1765.878,1766.511,659,200,0
75,2022-07-06 09:30:00,1766.542,1767.453,1764.337,1764.852,905,200,0
76,2022-07-06 09:40:00,1764.818,1765.932,1764.423,1764.894,617,200,0
77,2022-07-06 09:50:00,1764.896,1765.302,1763.935,1763.999,610,200,0
78,2022-07-06 10:00:00,1763.977,1764.263,1761.546,1761.612,648,200,0
79,2022-07-06 10:10:00,1761.582,1762.496,1761.009,1761.296,688,200,0
80,2022-07-06 10:20:00,1761.266,1762.291,1760.208,1762.027,750,200,0
81,2022-07-06 10:30:00,1762.032,1762.654,1760.855,1761.068,769,200,0
82,2022-07-06 10:40:00,1761.066,1761.626,1760.115,1761.204,688,200,0
83,2022-07-06 10:50:00,1761.197,1761.285,1760.065,1761.226,633,200,0
84,2022-07-06 11:00:00,1761.237,1762.939,1761.167,1762.848,855,200,0
85,2022-07-06 11:10:00,1762.858,1762.906,1761.286,1761.867,771,200,0
86,2022-07-06 11:20:00,1761.865,1762.361,1760.885,1761.366,806,200,0
